
==================================================
  Node C — Actuator Control (Host Fallback)
==================================================
  Listening: 0.0.0.0:5002
  Debounce: 2 consecutive STOP within 2000ms
  Watchdog: failsafe after 3000ms silence
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16226 conf=0.382) (processing=0.4ms)


  nodeC: recv #16229 cmd=STOP conf=0.382
  nodeC: recv #16231 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16231 conf=0.382) (processing=31.1ms)

  nodeC: recv #16234 cmd=STOP conf=0.386
  nodeC: recv #16236 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16236 conf=0.382) (processing=0.2ms)


  nodeC: recv #16238 cmd=STOP conf=0.386
  nodeC: recv #16240 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16240 conf=0.386) (processing=31.8ms)

  nodeC: recv #16242 cmd=STOP conf=0.371
  nodeC: recv #16244 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16244 conf=0.384) (processing=32.0ms)

  nodeC: recv #16246 cmd=STOP conf=0.377
  nodeC: recv #16250 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16250 conf=0.384) (processing=30.2ms)

  nodeC: recv #16252 cmd=STOP conf=0.382
  nodeC: recv #16255 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16255 conf=0.386) (processing=30.7ms)

  nodeC: recv #16258 cmd=STOP conf=0.382
  nodeC: recv #16260 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16260 conf=0.371) (processing=31.3ms)

  nodeC: recv #16262 cmd=STOP conf=0.384
  nodeC: recv #16265 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16265 conf=0.382) (processing=31.5ms)

  nodeC: recv #16268 cmd=STOP conf=0.382
  nodeC: recv #16271 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16271 conf=0.371) (processing=0.5ms)

  nodeC: recv #16274 cmd=STOP conf=0.377
  nodeC: recv #16276 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16276 conf=0.386) (processing=31.7ms)

  nodeC: recv #16278 cmd=STOP conf=0.382
  nodeC: recv #16281 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16281 conf=0.377) (processing=0.1ms)


  nodeC: recv #16283 cmd=STOP conf=0.386
  nodeC: recv #16285 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16285 conf=0.384) (processing=30.8ms)

  nodeC: recv #16287 cmd=STOP conf=0.386
  nodeC: recv #16289 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16289 conf=0.386) (processing=32.3ms)

  nodeC: recv #16291 cmd=STOP conf=0.384
  nodeC: recv #16293 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16293 conf=0.382) (processing=0.1ms)


  nodeC: recv #16296 cmd=STOP conf=0.386
  nodeC: recv #16298 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16298 conf=0.382) (processing=0.2ms)

  nodeC: recv #16300 cmd=STOP conf=0.384
  nodeC: recv #16302 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16302 conf=0.371) (processing=30.7ms)

  nodeC: recv #16305 cmd=STOP conf=0.386
  nodeC: recv #16307 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16307 conf=0.371) (processing=0.2ms)

  nodeC: recv #16309 cmd=STOP conf=0.377
  nodeC: recv #16311 cmd=STOP conf=0.377

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16311 conf=0.377) (processing=31.0ms)

  nodeC: recv #16313 cmd=STOP conf=0.371
  nodeC: recv #16316 cmd=STOP conf=0.384
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16316 conf=0.384) (processing=0.1ms)


  nodeC: recv #16319 cmd=STOP conf=0.386
  nodeC: recv #16321 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16321 conf=0.382) (processing=30.7ms)

  nodeC: recv #16324 cmd=STOP conf=0.386
  nodeC: recv #16326 cmd=STOP conf=0.377

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16326 conf=0.377) (processing=31.6ms)
  nodeC: recv #16329 cmd=STOP conf=0.382

  nodeC: recv #16332 cmd=STOP conf=0.386
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16332 conf=0.386) (processing=0.1ms)


  nodeC: recv #16334 cmd=STOP conf=0.384
  nodeC: recv #16336 cmd=STOP conf=0.386
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16336 conf=0.386) (processing=0.2ms)


  nodeC: recv #16339 cmd=STOP conf=0.377
  nodeC: recv #16341 cmd=STOP conf=0.384
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16341 conf=0.384) (processing=0.2ms)


  nodeC: recv #16343 cmd=STOP conf=0.382
  nodeC: recv #16345 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16345 conf=0.371) (processing=0.1ms)

  nodeC: recv #16348 cmd=STOP conf=0.386
  nodeC: recv #16351 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16351 conf=0.371) (processing=0.2ms)

  nodeC: recv #16353 cmd=STOP conf=0.382
  nodeC: recv #16355 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16355 conf=0.386) (processing=32.3ms)

  nodeC: recv #16358 cmd=STOP conf=0.382
  nodeC: recv #16360 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16360 conf=0.377) (processing=0.2ms)


  nodeC: recv #16363 cmd=STOP conf=0.384
  nodeC: recv #16366 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16366 conf=0.386) (processing=30.9ms)

  nodeC: recv #16368 cmd=STOP conf=0.382
  nodeC: recv #16370 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16370 conf=0.382) (processing=30.1ms)

  nodeC: recv #16372 cmd=STOP conf=0.371
  nodeC: recv #16375 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16375 conf=0.371) (processing=30.6ms)

  nodeC: recv #16378 cmd=STOP conf=0.386
  nodeC: recv #16381 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16381 conf=0.384) (processing=30.1ms)

  nodeC: recv #16383 cmd=STOP conf=0.382
  nodeC: recv #16385 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16385 conf=0.382) (processing=0.2ms)


  nodeC: recv #16388 cmd=STOP conf=0.371
  nodeC: recv #16393 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16393 conf=0.384) (processing=30.7ms)

  nodeC: recv #16396 cmd=STOP conf=0.382
  nodeC: recv #16399 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16399 conf=0.377) (processing=0.2ms)


  nodeC: recv #16401 cmd=STOP conf=0.386
  nodeC: recv #16403 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16403 conf=0.371) (processing=31.8ms)

  nodeC: recv #16405 cmd=STOP conf=0.382
  nodeC: recv #16407 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16407 conf=0.386) (processing=31.3ms)

  nodeC: recv #16409 cmd=STOP conf=0.384
  nodeC: recv #16412 cmd=STOP conf=0.384
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16412 conf=0.384) (processing=0.3ms)


  nodeC: recv #16415 cmd=STOP conf=0.386
  nodeC: recv #16418 cmd=STOP conf=0.386

